Genus,Sizer-6,Sizer-5,Sizer-8,Sizer-4,Sizer-3,Sizer-7,Sizer-2,Sizer-1
Kaistobacter,0,2,0,6,2,0,10,0
Williamsia,17,1,0,1,0,0,0,0
Luteibacter,0,0,0,0,0,19,0,0
Halothece,0,0,0,0,0,19,0,0
Burkholderia,0,4,0,5,1,4,5,0
Hydrogenophaga,0,0,0,10,0,6,2,0
Parabacteroides,0,0,0,0,3,12,0,3
Azospirillum,3,0,0,5,0,8,0,2
Haloanella,3,5,0,0,0,0,10,0
Slackia,0,9,2,1,3,0,0,2
Azoarcus,0,0,0,3,0,0,14,0
Phycicoccus,0,0,1,6,0,7,1,2
Alloscardovia,0,0,0,0,0,0,0,16
Exiguobacterium,0,0,2,3,8,2,0,1
Pseudoxanthomonas,0,0,0,0,1,15,0,0
Pectinatus,1,2,5,0,5,1,0,2
Gardnerella,0,0,0,1,0,6,5,4
Roseburia,0,0,0,0,0,15,0,0
Pedosphaera,0,0,0,0,0,15,0,0
Chondromyces,2,0,3,1,0,9,0,0
Gillisia,0,0,0,3,0,12,0,0
Sporotomaculum,0,0,0,0,13,1,0,1
Gloeotrichia,0,0,0,0,0,15,0,0
Ralstonia,0,10,0,0,0,0,0,5
Acidisoma,8,0,0,2,0,5,0,0
Yonghaparkia,0,0,0,0,0,13,0,1
Arcanobacterium,0,7,0,0,2,1,2,2
Pseudonocardia,0,1,0,1,0,11,1,0
Lachnospira,0,0,1,2,2,9,0,0
Ruminobacter,0,0,0,0,0,10,4,0
Ramlibacter,2,0,0,0,0,10,1,0
Delftia,0,0,0,1,0,8,0,4
Pelotomaculum,1,0,0,0,0,9,3,0
Sneathia,0,0,1,0,12,0,0,0
Mesoplasma,0,1,2,0,7,0,0,2
Georgenia,0,6,2,0,0,0,0,4
Pyramidobacter,0,0,0,0,0,12,0,0
Citricoccus,0,0,0,5,0,6,0,1
Escherichia,0,0,0,0,0,12,0,0
Kytococcus,2,0,1,6,0,0,0,3
Gordonia,2,3,0,5,0,1,0,1
Hydrogenophilus,1,0,0,0,1,8,1,0
Collinsella,0,0,0,0,0,11,0,0
Schlegelella,2,6,0,2,1,0,0,0
Marinitoga,0,0,2,1,4,2,1,1
Rhodoplanes,0,0,1,3,0,3,4,0
Geobacter,0,2,1,0,0,7,0,1
Giesbergeria,0,0,0,10,0,1,0,0
Desulfonauticus,0,0,0,0,0,0,11,0
Denitrobacter,0,0,0,8,0,3,0,0
Blastomonas,0,0,0,0,0,11,0,0
Thiocapsa,0,0,0,0,0,10,0,0
Brevibacillus,0,0,0,0,0,9,1,0
Modestobacter,6,0,0,0,1,0,3,0
Parapedobacter,0,8,1,0,1,0,0,0
Thermicanus,0,1,2,0,0,4,0,3
Zymomonas,0,0,0,0,0,10,0,0
Geodermatophilus,1,0,0,1,0,1,7,0
Conexibacter,0,0,0,0,1,9,0,0
Tepidibacter,0,9,0,1,0,0,0,0
Plesiomonas,0,0,0,10,0,0,0,0
Propionispora,0,3,1,0,5,0,0,1
Gallibacterium,0,6,1,0,1,1,0,1
Kribbella,1,3,3,0,0,0,3,0
Pelomonas,0,0,0,0,1,2,5,1
Bibersteinia,0,0,0,0,1,8,0,0
Ancylobacter,0,0,0,0,0,0,9,0
Longilinea,0,0,0,1,0,8,0,0
Chitinophaga,1,0,0,3,0,4,0,1
Marinococcus,0,0,0,0,0,9,0,0
Gramella,0,0,1,0,0,8,0,0
Chromobacterium,0,2,0,2,3,1,0,1
Rickettsiella,0,0,1,6,1,1,0,0
Paenisporosarcina,0,0,0,0,0,8,0,0
Luteolibacter,0,0,0,8,0,0,0,0
Ectothiorhodospira,0,0,0,0,0,8,0,0
Microcoleus,0,0,0,0,0,8,0,0
Microlunatus,0,0,0,1,0,7,0,0
Methylosinus,0,0,0,2,3,1,2,0
Nitrosovibrio,0,0,0,0,0,8,0,0
Sphingopyxis,0,0,0,0,0,8,0,0
Tepidanaerobacter,0,1,0,1,0,6,0,0
Lutibacterium,0,1,0,2,0,3,2,0
Magnetospirillum,0,0,0,0,0,0,8,0
Sebaldella,0,3,0,0,3,0,0,2
Demequina,0,1,2,1,0,2,0,1
Pediococcus,0,1,1,0,0,4,0,1
Methyloversatilis,0,0,0,3,0,4,0,0
Kitasatospora,0,0,1,0,1,4,0,1
Dokdonella,0,0,0,7,0,0,0,0
Tetrasphaera,1,0,5,0,0,0,0,1
Actinocatenispora,2,0,1,0,0,2,2,0
Spirosoma,1,1,0,0,0,5,0,0
Streptosporangium,2,1,0,1,0,2,1,0
Actinobaculum,0,0,0,0,5,2,0,0
Candidatus Contubernalis,1,3,1,0,2,0,0,0
Anaerobranca,1,1,1,0,1,1,0,2
Leucobacter,1,2,1,1,1,0,1,0
Gemmata,1,0,0,1,0,0,5,0
Dechloromonas,0,0,0,0,0,0,7,0
Desulfotomaculum,0,1,0,0,0,3,2,1
Pontibacillus,0,0,1,0,1,5,0,0
Frigoribacterium,0,0,0,0,0,5,2,0
Aminiphilus,0,1,1,0,2,1,0,1
Borrelia,1,1,0,0,0,4,0,0
Pseudoclavibacter,0,0,0,4,0,2,0,0
Erythrobacter,0,2,1,2,1,0,0,0
Chthoniobacter,0,0,0,1,0,5,0,0
Gemmatimonas,0,0,0,4,0,2,0,0
Hyphomonas,0,3,0,0,1,1,0,1
Cellvibrio,0,0,0,6,0,0,0,0
Patulibacter,0,0,0,0,0,6,0,0
Xanthomonas,0,0,0,1,0,5,0,0
Phaeobacter,0,0,0,1,3,1,0,1
Vibrio,0,0,0,0,0,0,0,6
